Material Number,Material_Key__c,Description,Multi_Use_Demo__c
20100,20100-US60-10,HOUSE ALLIG FCP SERR,TRUE
20120,20120-US60-10,ALLIG FCP MIN SERR,TRUE
20121,20121-US60-10,ALLIG FCP MICR SERR,TRUE
20130,20130-US60-10,HOUSE STRUT FCP SMH,TRUE
20155,20155-US60-10,OVAL SPOON FCP MICRO,TRUE
20165,20165-US60-10,ROUND CUP FCP 0.75MM,TRUE
20204,20204-US60-10,H-BELL SCIMIN STR,TRUE
20210,20210-US60-10,BELLUCCI SCI STD RT,TRUE
20211,20211-US60-10,BELLUCCI SCI STD LF,TRUE
20300,20300-US60-10,HOUSE CURETTE STRONG ANG,TRUE
20302,20302-US60-10,HOUSE CURETTE LIGHT ANG,TRUE
20571,20571-US60-10,SUPER FINE SERRATED JAW ST,TRUE
25100,25100-US60-10,BOUCHERON ROUND SMALL SET,TRUE
25101,25101-US60-10,BOUCHERON ROUND SIZE 1,TRUE
25102,25102-US60-10,BOUCHERON ROUND SIZE 2,TRUE
25103,25103-US60-10,BOUCHERON ROUND SIZE 3,TRUE
25104,25104-US60-10,BOUCHERON ROUND SIZE 4,TRUE
25160,25160-US60-10,SPEC FARRIOR OVAL 3MM X 4MM,TRUE
25162,25162-US60-10,SPEC FARRIOR OVAL 4MM X 5MM,TRUE
25163,25163-US60-10,SPEC FARRIOR OVAL 4.5MM X 5MM,TRUE
25164,25164-US60-10,SPEC FARRIOR OVAL 5MM X 6MM,TRUE
25165,25165-US60-10,SPEC FARRIOR OVAL 5.5MM X 6MM,TRUE
25166,25166-US60-10,SPEC FARRIOR OVAL 6MM X 7MM,TRUE
25167,25167-US60-10,SPEC FARRIOR OVAL 6.5MM X 7MM,TRUE
25168,25168-US60-10,SPEC FARRIOR OVAL 7MM X 8MM,TRUE
25169,25169-US60-10,SPEC FARRIOR OVAL 7.5MM X 8.5MM,TRUE
26275,26275-US60-10,DINGMAN ZYGOMA HOOK,TRUE
